content,subject,difficulty,option_a,option_b,option_c,option_d,correct_answer,explanation,campus_name
"다음 중 2의 3제곱은?",math,low,6,8,9,12,b,"2³ = 2×2×2 = 8","플라토 강남점"
"What is the past tense of 'go'?",english,low,goed,went,gone,going,b,"'go'의 과거형은 불규칙 동사로 'went'입니다.","플라토 강남점"
"다음 방정식의 해는? x + 5 = 12",math,medium,x=7,x=8,x=6,x=9,a,"x + 5 = 12이므로 x = 12 - 5 = 7","플라토 강남점"
"Choose the correct sentence.",english,low,"I am go to school","I go to school","I goes to school","I going to school",b,"주어가 I일 때는 동사원형을 사용합니다.","플라토 강남점"
"삼각형의 내각의 합은?",math,low,90도,180도,270도,360도,b,"삼각형의 내각의 합은 항상 180도입니다.","플라토 강남점"
"What does 'beautiful' mean?",english,low,아름다운,슬픈,화난,행복한,a,"beautiful은 아름다운이라는 뜻입니다.","플라토 강남점"
"다음 중 소수는?",math,medium,4,6,7,8,c,"7은 1과 자기 자신으로만 나누어지므로 소수입니다.","플라토 강남점"
"Fill in the blank: I ___ a student.",english,low,am,is,are,be,a,"주어가 I일 때는 am을 사용합니다.","플라토 강남점"
"원의 둘레 공식은?",math,medium,2πr,πr²,πd,2r,a,"원의 둘레는 2πr 또는 πd입니다.","플라토 강남점"
"Choose the plural form of 'child'.",english,medium,childs,childes,children,child's,c,"child의 복수형은 불규칙으로 children입니다.","플라토 강남점"
"다음 중 가장 큰 수는?",math,low,0.5,1/3,0.7,2/5,c,"0.7 = 7/10이 가장 큽니다.","플라토 서초점"
"What is the opposite of 'hot'?",english,low,warm,cool,cold,freeze,c,"hot의 반대말은 cold입니다.","플라토 서초점"
"2x + 3 = 11일 때 x는?",math,medium,x=4,x=3,x=5,x=6,a,"2x = 11 - 3 = 8이므로 x = 4","플라토 서초점"
"Which is correct?",english,medium,"She don't like apples","She doesn't like apples","She not like apples","She no like apples",b,"3인칭 단수 부정문은 doesn't를 사용합니다.","플라토 서초점"
"평행사변형의 넓이는?",math,medium,"밑변×높이","밑변×높이÷2","(밑변1+밑변2)×높이÷2","밑변×세로",a,"평행사변형의 넓이는 밑변×높이입니다.","플라토 서초점"
"I ___ breakfast every morning.",english,low,eat,eats,eating,ate,a,"주어가 I일 때는 동사원형을 사용합니다.","플라토 서초점"
"다음 중 완전제곱수는?",math,medium,15,18,25,30,c,"25 = 5²이므로 완전제곱수입니다.","플라토 서초점"
"What time do you ___ up?",english,low,get,gets,getting,got,a,"조동사 do 다음에는 동사원형을 사용합니다.","플라토 서초점"
"일차함수 y = 2x + 3에서 x = 1일 때 y는?",math,high,3,4,5,6,c,"y = 2(1) + 3 = 5","플라토 서초점"
"Choose the correct preposition: I go to school ___ bus.",english,medium,on,by,with,in,b,"교통수단 앞에는 by를 사용합니다.","플라토 서초점"
"피타고라스 정리에서 c² =?",math,high,"a² + b²","a² - b²",ab,2ab,a,"피타고라스 정리는 c² = a² + b²입니다.","플라토 분당점"
"The cat is ___ the table.",english,low,on,of,to,for,a,"위치를 나타내는 전치사는 on입니다.","플라토 분당점"
"분수 2/3 + 1/6은?",math,medium,5/6,3/9,4/6,1/2,a,"2/3 + 1/6 = 4/6 + 1/6 = 5/6","플라토 분당점"
"I have ___ apple.",english,low,a,an,the,some,b,"모음으로 시작하는 단어 앞에는 an을 사용합니다.","플라토 분당점"
"다음 중 홀수는?",math,low,2,4,5,8,c,"5는 2로 나누어떨어지지 않으므로 홀수입니다.","플라토 분당점"
"Yesterday I ___ to the park.",english,medium,go,goes,went,going,c,"Yesterday는 과거를 나타내므로 went를 사용합니다.","플라토 분당점"
"원의 넓이 공식은?",math,medium,2πr,πr²,4πr,πd,b,"원의 넓이는 πr²입니다.","플라토 분당점"
"How ___ books do you have?",english,medium,much,many,some,any,b,"셀 수 있는 명사 앞에는 many를 사용합니다.","플라토 분당점"
"다음 연산의 결과는? 5 × 6 + 4 ÷ 2",math,medium,32,17,19,34,a,"5×6+4÷2 = 30+2 = 32 (곱셈과 나눗셈 먼저)","플라토 분당점"
"She ___ very well.",english,low,sing,sings,singing,sung,b,"3인칭 단수 주어에는 동사에 s를 붙입니다.","플라토 분당점"
"이차방정식 x² - 5x + 6 = 0의 해는?",math,high,"x=2 또는 x=3","x=1 또는 x=6","x=-2 또는 x=-3","x=0 또는 x=5",a,"(x-2)(x-3)=0이므로 x=2 또는 x=3","플라토 판교점"
"The book is ___ the shelf.",english,low,in,on,at,to,b,"선반 위에는 on을 사용합니다.","플라토 판교점"
"다음 중 약수가 가장 많은 수는?",math,high,6,8,12,16,c,"12의 약수: 1,2,3,4,6,12 (6개)","플라토 판교점"
"I ___ like coffee.",english,low,don't,doesn't,not,no,a,"I는 1인칭이므로 don't를 사용합니다.","플라토 판교점"
"삼각함수에서 sin 30°는?",math,high,1/2,√3/2,√2/2,1,a,"sin 30° = 1/2입니다.","플라토 판교점"
"What's your favorite ___?",english,low,color,colors,colour's,color's,a,"단수형태로 묻고 있으므로 color입니다.","플라토 판교점"
"다음 수열의 다음 항은? 2, 4, 8, 16, ...",math,high,24,32,20,28,b,"공비가 2인 등비수열이므로 16×2=32","플라토 판교점"
"I need ___ help with my homework.",english,medium,a,an,some,any,c,"도움(help)은 셀 수 없는 명사이므로 some을 사용","플라토 판교점"
"로그 log₂8은?",math,high,2,3,4,8,b,"2³ = 8이므로 log₂8 = 3","플라토 판교점"
"The movie starts ___ 7 o'clock.",english,medium,on,at,in,by,b,"정확한 시간 앞에는 at을 사용합니다.","플라토 판교점"
"다음 중 무리수는?",math,high,√4,√9,√2,√16,c,"√2는 유한소수로 나타낼 수 없는 무리수입니다.","플라토 목동점"
"I was born ___ Seoul.",english,medium,on,at,in,to,c,"도시 이름 앞에는 in을 사용합니다.","플라토 목동점"
"미분에서 d/dx(x²)는?",math,high,x,2x,x²,2,b,"x²을 미분하면 2x입니다.","플라토 목동점"
"She is ___ than her sister.",english,medium,tall,taller,tallest,more tall,b,"비교급에서는 -er을 붙입니다.","플라토 목동점"
"다음 중 합성수는?",math,medium,2,3,4,5,c,"4 = 2×2이므로 합성수입니다.","플라토 목동점"
"I have been studying English ___ two years.",english,high,since,for,from,during,b,"기간을 나타낼 때는 for를 사용합니다.","플라토 목동점"
"다음 적분의 값은? ∫x dx",math,high,x²,x²/2,2x,x²+C,b,"∫x dx = x²/2 + C","플라토 목동점"
"If I ___ rich, I would travel the world.",english,high,am,was,were,be,c,"가정법 과거에서는 were를 사용합니다.","플라토 목동점"
